12.56637	12.56637	12.56637	-1.56856	-1.05467	-1.00000
5.27361	2.30017	0.35758	-1.47597	-1.05584	0.05700
0.10253	2.54022	6.19826	-1.38338	-1.05700	0.00000
1.62763	0.93162	4.97808	-1.29080	-1.05817	0.02900
5.75963	1.13338	2.53998	-1.19821	-1.05933	0.00000
4.77946	2.36740	5.60642	-1.10562	-1.06050	0.00000
1.63301	0.55123	5.13019	-1.01304	-1.06166	0.00000
2.11827	3.03629	4.45809	-0.92045	-1.06283	0.05700
2.29869	1.22570	4.38653	-0.82786	-1.06399	0.02900
1.84113	0.18780	2.48040	-0.73528	-1.06516	0.00000
2.00933	1.54199	0.77617	-0.64269	-1.06632	0.02900
3.99965	2.45465	4.78198	-0.55010	-1.06749	0.00000
1.27617	1.23870	5.91527	-0.45752	-1.06865	0.05700
3.61227	0.39031	1.03849	-0.36493	-1.06982	0.00000
1.77554	1.62438	0.80466	-0.27234	-1.07098	0.02900
4.51047	1.14333	1.31888	-0.17976	-1.07215	0.05700
3.43998	0.39195	4.63767	-0.08717	-1.07331	0.00000
4.88097	1.59685	2.49597	0.00542	-1.07447	0.02900
4.85019	1.90788	6.19241	0.09800	-1.07564	0.02900
1.46095	1.91444	3.58970	0.19059	-1.07680	0.08600
2.44789	1.87418	3.76540	0.28318	-1.07797	0.00000
5.12079	1.58393	0.58587	0.37576	-1.07913	0.00000
0.46174	0.49458	2.05465	0.46835	-1.08030	0.02900
2.64352	1.91659	3.43599	0.56094	-1.08146	0.02900
3.87434	2.42994	3.72298	0.65352	-1.08263	0.00000
1.89132	2.32033	0.89071	0.74611	-1.08379	0.14300
4.37894	0.31915	0.38485	0.83870	-1.08496	0.08600
0.41162	3.00126	2.66889	0.93128	-1.08612	0.00000
1.04415	2.56280	5.88950	1.02387	-1.08729	0.08600
2.15986	1.68828	4.39739	1.11646	-1.08845	0.08600
1.53145	0.96810	5.52816	1.20904	-1.08962	0.00000
2.59526	1.66348	0.56950	1.30163	-1.09078	0.05700
1.49632	1.17441	4.19930	1.39422	-1.09195	0.00000
1.69648	2.49202	0.56499	1.48680	-1.09311	0.05700
0.38177	1.03556	3.38473	1.57939	-1.09428	0.00000
0.22893	1.86669	0.27096	1.67198	-1.09544	0.02900
1.02548	2.53376	0.19193	1.76457	-1.09661	0.02900
3.51304	0.39917	4.63025	1.85715	-1.09777	0.02900
0.44123	1.96274	2.55711	1.94974	-1.09894	0.05700
2.10840	1.33614	0.32957	2.04233	-1.10010	0.02900
3.37889	2.50236	1.63328	2.13491	-1.10127	0.02900
4.44254	2.27367	6.16459	2.22750	-1.10243	0.02900
3.11751	0.58536	1.54812	2.32009	-1.10359	0.02900
1.50609	1.18061	0.13072	2.41267	-1.10476	0.05700
6.22946	0.81890	2.43233	2.50526	-1.10592	0.00000
1.29722	0.46484	2.13483	2.59785	-1.10709	0.05700
5.29579	2.30753	1.92867	2.69043	-1.10825	0.02900
3.25323	2.28998	1.21415	2.78302	-1.10942	0.00000
4.97899	2.18075	2.32230	2.87561	-1.11058	0.00000
